ts,role,task,phase,priority,ref
2025-09-17 00:25:14,research,skim + summarize objectives for Payoneer Lander Polishing,P1 – MVP Integration,1,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 00:25:14,analysis,outline value props and risks for Payoneer Lander Polishing,P1 – MVP Integration,1,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 00:25:14,data,define KPIs and freshness for BI,P1 – MVP Integration,1,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 00:25:14,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,1,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 00:25:14,pm,timeline + risk register,P1 – MVP Integration,1,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 00:25:14,advisor,review blueprint and sign-off,P1 – MVP Integration,1,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 00:25:14,research,skim + summarize objectives for LaziestLarry Core (placeholder),P0 – Intake & Triage,2,https://github.com/laziestlarry/core
2025-09-17 00:25:14,analysis,outline value props and risks for LaziestLarry Core (placeholder),P0 – Intake & Triage,2,https://github.com/laziestlarry/core
2025-09-17 00:25:14,data,define KPIs and freshness for BI,P0 – Intake & Triage,2,https://github.com/laziestlarry/core
2025-09-17 00:25:14,growth,prepare 3 posts + 10 DMs plan,P0 – Intake & Triage,2,https://github.com/laziestlarry/core
2025-09-17 00:25:14,pm,timeline + risk register,P0 – Intake & Triage,2,https://github.com/laziestlarry/core
2025-09-17 00:25:14,advisor,review blueprint and sign-off,P0 – Intake & Triage,2,https://github.com/laziestlarry/core
2025-09-17 00:25:14,research,skim + summarize objectives for Zen Printables Catalog (placeholder),P1 – MVP Integration,3,https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 00:25:14,analysis,outline value props and risks for Zen Printables Catalog (placeholder),P1 – MVP Integration,3,https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 00:25:14,data,define KPIs and freshness for BI,P1 – MVP Integration,3,https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 00:25:14,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,3,https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 00:25:14,pm,timeline + risk register,P1 – MVP Integration,3,https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 00:25:14,advisor,review blueprint and sign-off,P1 – MVP Integration,3,https://drive.google.com/drive/folders/PRINTABLES-ID
2025-09-17 00:25:14,research,skim + summarize objectives for Fulfillment Evidence Script,P1 – MVP Integration,4,ops/team_run_demo.sh
2025-09-17 00:25:14,analysis,outline value props and risks for Fulfillment Evidence Script,P1 – MVP Integration,4,ops/team_run_demo.sh
2025-09-17 00:25:14,data,define KPIs and freshness for BI,P1 – MVP Integration,4,ops/team_run_demo.sh
2025-09-17 00:25:14,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,4,ops/team_run_demo.sh
2025-09-17 00:25:14,pm,timeline + risk register,P1 – MVP Integration,4,ops/team_run_demo.sh
2025-09-17 00:25:14,advisor,review blueprint and sign-off,P1 – MVP Integration,4,ops/team_run_demo.sh
2025-09-17 00:25:14,research,skim + summarize objectives for Shopify→BQ Orders Backfill,P1 – MVP Integration,5,analytics/backfill/orders_bulk.py
2025-09-17 00:25:14,analysis,outline value props and risks for Shopify→BQ Orders Backfill,P1 – MVP Integration,5,analytics/backfill/orders_bulk.py
2025-09-17 00:25:14,dev,wire Shopify backfills to BQ + /bi,P1 – MVP Integration,5,analytics/backfill/orders_bulk.py
2025-09-17 00:25:14,data,define KPIs and freshness for BI,P1 – MVP Integration,5,analytics/backfill/orders_bulk.py
2025-09-17 00:25:14,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,5,analytics/backfill/orders_bulk.py
2025-09-17 00:25:14,pm,timeline + risk register,P1 – MVP Integration,5,analytics/backfill/orders_bulk.py
2025-09-17 00:25:14,advisor,review blueprint and sign-off,P1 – MVP Integration,5,analytics/backfill/orders_bulk.py
2025-09-17 00:25:14,research,skim + summarize objectives for BI KPIs from BQ,P1 – MVP Integration,6,analytics/bi.py
2025-09-17 00:25:14,analysis,outline value props and risks for BI KPIs from BQ,P1 – MVP Integration,6,analytics/bi.py
2025-09-17 00:25:14,data,define KPIs and freshness for BI,P1 – MVP Integration,6,analytics/bi.py
2025-09-17 00:25:14,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,6,analytics/bi.py
2025-09-17 00:25:14,pm,timeline + risk register,P1 – MVP Integration,6,analytics/bi.py
2025-09-17 00:25:14,advisor,review blueprint and sign-off,P1 – MVP Integration,6,analytics/bi.py
2025-09-17 00:25:14,research,skim + summarize objectives for Checkout CTA via Payoneer,P1 – MVP Integration,7,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 00:25:14,analysis,outline value props and risks for Checkout CTA via Payoneer,P1 – MVP Integration,7,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 00:25:14,data,define KPIs and freshness for BI,P1 – MVP Integration,7,revenue_sprint_lite_payoneer/landing/index.html
2025-09-17 00:25:14,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,7,revenue_sprint_lite_payoneer/landing/index.html
